,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,WIld Card,Division,Championship,Super Bowl
Arizona Cardinals,No,Yes,No,No,Yes,No,No,No,No,No,,Yes,No,Yes,No,No,Yes,Yes,,,,
Atlanta Falcons,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,,No,No,No,No,No,Yes,,,,
Baltimore Ravens,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,,No,Yes,No,Yes,Yes,No,,
Buffalo Bills,No,Yes,No,No,No,Yes,No,No,Yes,No,No,,No,No,No,Yes,Yes,Yes,No,No,No,
Carolina Panthers,Yes,No,No,No,No,Yes,No,No,Yes,No,,No,Yes,No,No,No,Yes,Yes,,,,
Chicago Bears,No,No,No,No,No,No,,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,,,
Cincinnati Bengals,No,No,No,No,Yes,No,Yes,No,No,Yes,No,,Yes,No,No,Yes,No,Yes,,,,
Cleveland Browns,No,No,No,No,No,No,Yes,Yes,No,,No,Yes,No,Yes,No,Yes,No,Yes,,,,
Dallas Cowboys,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,,,,
Denver Broncos,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,,No,Yes,No,Yes,No,,,
Detroit Lions,No,No,No,No,,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,,No,,
Green Bay Packers,No,No,No,Yes,No,No,No,No,Yes,,Yes,No,No,Yes,No,No,Yes,Yes,No,,,
Houston Texans,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,Yes,No,No,,
Indianapolis Colts,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,,No,Yes,No,Yes,,,,
Jacksonville Jaguars,No,No,No,Yes,Yes,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,Yes,,,,
Kansas City Chiefs,No,No,No,Yes,No,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,,No,No,No
Las Vegas Raiders,Yes,No,No,No,Yes,No,No,Yes,No,,No,Yes,Yes,No,No,No,No,Yes,,,,
Los Angeles Chargers,Yes,No,No,Yes,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,,,
Los Angeles Rams,No,Yes,Yes,No,No,,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,,
Miami Dolphins,No,Yes,No,No,Yes,,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,,,,
Minnesota Vikings,No,No,No,Yes,No,,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,,,
New England Patriots,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,,No,Yes,No,Yes,,,,
New Orleans Saints,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,No,No,No,Yes,,,,
New York Giants,No,Yes,No,Yes,No,No,Yes,No,Yes,No,,No,Yes,No,No,No,No,Yes,,,,
New York Jets,No,No,Yes,No,No,Yes,No,Yes,No,No,No,,No,Yes,No,No,Yes,Yes,,,,
Philadelphia Eagles,No,No,No,No,,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Pittsburgh Steelers,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,,,
San Francisco 49ers,No,No,Yes,No,Yes,Yes,No,No,,No,Yes,No,No,No,Yes,No,No,Yes,,,,
Seattle Seahawks,No,No,No,No,No,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,,,,
Tampa Bay Buccaneers,No,No,No,No,Yes,Yes,No,Yes,No,No,,No,Yes,No,No,No,Yes,Yes,No,,,
Tennessee Titans,No,No,No,No,,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,,,,
Washington Commanders,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,,No,Yes,No,Yes,No,No,Yes,
