Team,Week,PositiveRatio,NegativeRatio,TotalComments,Div,Home,Margin of Victory,Opponent,Playoff,Prime Time,Win-Lose
Arizona Cardinals,Week 1,0.5600794438927508,0.4399205561072492,1007,No,No,-6.0,Buffalo Bills,No,No,L
Atlanta Falcons,Week 1,0.4929906542056075,0.5070093457943925,428,No,Yes,-8.0,Pittsburgh Steelers,No,No,L
Carolina Panthers,Week 1,0.5651612903225807,0.4348387096774193,775,Yes,No,-37.0,New Orleans Saints,No,No,L
Cincinnati Bengals,Week 1,0.5298372513562387,0.4701627486437613,553,No,Yes,-6.0,New England Patriots,No,No,L
Cleveland Browns,Week 1,0.5853242320819113,0.4146757679180887,586,No,Yes,-16.0,Dallas Cowboys,No,No,L
Dallas Cowboys,Week 1,0.6524752475247525,0.3475247524752475,1010,No,No,16.0,Cleveland Browns,No,No,W
Denver Broncos,Week 1,0.5652777777777778,0.4347222222222222,720,No,No,-6.0,Seattle Seahawks,No,No,L
Detroit Lions,Week 1,0.6334012219959266,0.3665987780040733,491,No,Yes,6.0,Los Angeles Rams,No,Yes,W
Green Bay Packers,Week 1,0.5456674473067916,0.4543325526932084,427,No,Yes,-5.0,Philadelphia Eagles,No,Yes,L
Houston Texans,Week 1,0.7393310265282583,0.2606689734717416,867,Yes,No,2.0,Indianapolis Colts,No,No,W
Indianapolis Colts,Week 1,0.5228452751817237,0.4771547248182762,1926,Yes,Yes,-2.0,Houston Texans,No,No,L
Jacksonville Jaguars,Week 1,0.4543325526932084,0.5456674473067916,427,No,No,-3.0,Miami Dolphins,No,No,L
Kansas City Chiefs,Week 1,0.7286432160804021,0.271356783919598,597,No,Yes,7.0,Baltimore Ravens,No,Yes,W
Las Vegas Raiders,Week 1,0.6364551863041289,0.3635448136958711,993,Yes,No,-12.0,Los Angeles Chargers,No,No,L
Los Angeles Chargers,Week 1,0.7324561403508771,0.2675438596491228,456,Yes,Yes,12.0,Las Vegas Raiders,No,No,W
Los Angeles Rams,Week 1,0.5537848605577689,0.446215139442231,502,No,No,-6.0,Detroit Lions,No,Yes,L
Miami Dolphins,Week 1,0.5066666666666667,0.4933333333333333,375,No,Yes,3.0,Jacksonville Jaguars,No,No,W
Minnesota Vikings,Week 1,0.6865728413845569,0.3134271586154431,2629,No,No,22.0,New York Giants,No,No,W
New England Patriots,Week 1,0.7110912343470484,0.2889087656529517,1118,No,No,6.0,Cincinnati Bengals,No,No,W
New Orleans Saints,Week 1,0.7264150943396226,0.2735849056603773,106,Yes,Yes,37.0,Carolina Panthers,No,No,W
New York Giants,Week 1,0.4401041666666667,0.5598958333333334,384,No,Yes,-22.0,Minnesota Vikings,No,No,L
New York Jets,Week 1,0.562874251497006,0.437125748502994,501,No,No,-13.0,San Francisco 49ers,No,Yes,L
Philadelphia Eagles,Week 1,0.6836027713625866,0.3163972286374134,433,No,Yes,5.0,Green Bay Packers,No,Yes,W
Pittsburgh Steelers,Week 1,0.6301652892561983,0.3698347107438016,484,No,No,8.0,Atlanta Falcons,No,No,W
San Francisco 49ers,Week 1,0.6708333333333333,0.3291666666666666,480,No,Yes,13.0,New York Jets,No,Yes,W
Seattle Seahawks,Week 1,0.6983546617915904,0.3016453382084095,547,No,Yes,6.0,Denver Broncos,No,No,W
Tampa Bay Buccaneers,Week 1,0.6925795053003534,0.3074204946996466,283,No,Yes,17.0,Washington Commanders,No,No,W
Tennessee Titans,Week 1,0.5330188679245284,0.4669811320754717,636,No,No,-7.0,Chicago Bears,No,No,L
Washington Commanders,Week 1,0.6747491638795987,0.3252508361204013,1196,No,No,-17.0,Tampa Bay Buccaneers,No,No,L
Arizona Cardinals,Week 2,0.7583333333333333,0.2416666666666666,120,Yes,Yes,31.0,Los Angeles Rams,No,No,W
Atlanta Falcons,Week 2,0.7298701298701299,0.2701298701298701,385,No,No,1.0,Philadelphia Eagles,No,Yes,W
Baltimore Ravens,Week 2,0.4592274678111588,0.5407725321888412,466,No,Yes,-3.0,Las Vegas Raiders,No,No,L
Buffalo Bills,Week 2,0.6909090909090909,0.3090909090909091,550,Yes,No,21.0,Miami Dolphins,No,Yes,W
Carolina Panthers,Week 2,0.4002677376171352,0.5997322623828648,747,No,Yes,-23.0,Los Angeles Chargers,No,No,L
Chicago Bears,Week 2,0.4581395348837209,0.541860465116279,430,No,No,-6.0,Houston Texans,No,Yes,L
Cincinnati Bengals,Week 2,0.4908835904628331,0.5091164095371669,713,No,No,-1.0,Kansas City Chiefs,No,No,L
Cleveland Browns,Week 2,0.5924764890282131,0.4075235109717868,638,No,No,5.0,Jacksonville Jaguars,No,No,W
Dallas Cowboys,Week 2,0.4374282433983926,0.5625717566016073,871,No,Yes,-25.0,New Orleans Saints,No,No,L
Denver Broncos,Week 2,0.5857687420584498,0.4142312579415502,787,No,Yes,-7.0,Pittsburgh Steelers,No,No,L
Houston Texans,Week 2,0.4910344827586207,0.5089655172413793,725,No,Yes,6.0,Chicago Bears,No,Yes,W
Indianapolis Colts,Week 2,0.7421768707482993,0.2578231292517007,1470,No,No,-6.0,Green Bay Packers,No,No,L
Jacksonville Jaguars,Week 2,0.5402298850574713,0.4597701149425287,87,No,Yes,-5.0,Cleveland Browns,No,No,L
Kansas City Chiefs,Week 2,0.6454248366013072,0.3545751633986928,612,No,Yes,1.0,Cincinnati Bengals,No,No,W
Las Vegas Raiders,Week 2,0.7207207207207207,0.2792792792792792,444,No,No,3.0,Baltimore Ravens,No,No,W
Los Angeles Chargers,Week 2,0.5879659908436887,0.4120340091563113,1529,No,No,23.0,Carolina Panthers,No,No,W
Los Angeles Rams,Week 2,0.4970414201183432,0.5029585798816568,169,Yes,No,-31.0,Arizona Cardinals,No,No,L
Miami Dolphins,Week 2,0.5655296229802513,0.4344703770197486,557,Yes,Yes,-21.0,Buffalo Bills,No,Yes,L
Pittsburgh Steelers,Week 2,0.6280254777070063,0.3719745222929936,785,No,No,7.0,Denver Broncos,No,No,W
Seattle Seahawks,Week 2,0.6559633027522935,0.3440366972477064,654,No,No,3.0,New England Patriots,No,No,W
Washington Commanders,Week 2,0.7262247838616714,0.2737752161383285,1041,Yes,Yes,3.0,New York Giants,No,No,W
