,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,WIld Card,Division,Championship,Super Bowl
Arizona Cardinals,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,,No,No,Yes,Yes,No,No,Yes,,,,
Atlanta Falcons,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,Yes,No,No,Yes,No,Yes,,,,
Baltimore Ravens,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,,No,Yes,No,Yes,Yes,No,,
Buffalo Bills,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,Yes,Yes,No,
Carolina Panthers,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes,No,Yes,Yes,No,No,,,,
Chicago Bears,Yes,No,No,Yes,Yes,Yes,,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,,,,
Cincinnati Bengals,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,,Yes,No,No,Yes,Yes,No,,,,
Cleveland Browns,Yes,No,Yes,No,No,No,Yes,Yes,Yes,,No,Yes,No,No,Yes,No,Yes,No,,,,
Dallas Cowboys,No,Yes,Yes,No,No,Yes,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,,,,
Denver Broncos,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,,Yes,No,No,Yes,No,,,
Detroit Lions,Yes,Yes,No,Yes,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,,
Green Bay Packers,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,,No,Yes,Yes,No,No,Yes,No,Yes,No,,,
Houston Texans,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,,Yes,No,Yes,No,Yes,No,,
Indianapolis Colts,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,,No,Yes,No,Yes,,,,
Jacksonville Jaguars,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,No,Yes,No,Yes,No,,,,
Kansas City Chiefs,Yes,Yes,No,No,Yes,,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,,Yes,Yes,No
Las Vegas Raiders,No,No,Yes,Yes,No,Yes,No,Yes,No,,No,Yes,No,No,Yes,Yes,No,Yes,,,,
Los Angeles Chargers,Yes,No,No,Yes,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,,,
Los Angeles Rams,No,No,Yes,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,,
Miami Dolphins,Yes,Yes,No,Yes,No,,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,,,
Minnesota Vikings,No,Yes,Yes,No,Yes,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,,,
New England Patriots,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,,No,No,Yes,Yes,,,,
New Orleans Saints,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,,Yes,No,Yes,No,Yes,No,,,,
New York Giants,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,No,Yes,No,,,,
New York Jets,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,,Yes,No,No,Yes,No,Yes,,,,
Philadelphia Eagles,Yes,Yes,No,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Pittsburgh Steelers,No,No,Yes,No,Yes,No,Yes,Yes,,No,Yes,No,No,Yes,No,No,Yes,Yes,No,,,
San Francisco 49ers,Yes,No,No,Yes,Yes,No,Yes,Yes,,No,Yes,No,No,Yes,Yes,No,Yes,No,,,,
Seattle Seahawks,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,,No,Yes,No,No,Yes,Yes,No,No,,,,
Tampa Bay Buccaneers,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,,No,No,Yes,No,No,Yes,Yes,Yes,,,
Tennessee Titans,No,Yes,Yes,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,,,,
Washington Commanders,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,,No,Yes,Yes,No,No,No,No,
