,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,WIld Card,Division,Championship,Super Bowl
Arizona Cardinals,-6,31,-7,-28,1,-21,2,1,20,25,,-10,-1,-12,13,-6,-4,23,,,,
Atlanta Falcons,-8,1,-5,2,6,18,-20,5,6,-3,-32,,-4,-21,6,27,-6,-6,,,,
Baltimore Ravens,-7,-3,3,25,3,7,10,-5,31,1,-2,7,-5,,21,17,29,25,14,-2,,
Buffalo Bills,6,21,37,-25,-3,3,24,21,3,10,9,,25,-2,6,3,26,-7,24,2,-3,
Carolina Panthers,-37,-23,14,-10,-26,-18,-33,-14,1,3,,-3,-3,-6,-16,6,-34,6,,,,
Chicago Bears,7,-6,-5,6,26,19,,-3,-20,-16,-1,-3,-3,-25,-18,-17,-3,2,,,,
Cincinnati Bengals,-6,-1,-5,10,-3,10,7,-20,17,-1,-7,,-6,7,10,18,6,2,,,,
Cleveland Browns,-16,5,-6,-4,-21,-4,-7,5,-17,,-21,5,-9,-13,-14,-18,-17,-25,,,,
Dallas Cowboys,16,-25,-3,5,3,-38,,-6,-6,-28,-24,8,7,-7,16,2,-34,-4,,,,
Denver Broncos,-6,-7,19,1,16,-7,23,14,-31,-2,32,10,9,,18,-7,-6,38,-24,,,
Detroit Lions,6,-4,7,13,,38,2,38,10,3,46,18,3,3,-6,17,6,22,,-14,,
Green Bay Packers,-5,6,16,-2,5,21,2,3,-10,,1,28,13,-3,17,34,-2,-2,-12,,,
Houston Texans,2,6,-27,4,3,20,-2,3,-8,-3,24,-5,3,,8,-8,-29,9,20,-9,,
Indianapolis Colts,-2,-6,5,3,-3,3,6,-3,-8,-10,1,-18,1,,-18,8,-12,3,,,,
Jacksonville Jaguars,-3,-5,-37,-4,3,-19,16,-3,-5,-5,-46,,-3,4,-7,-5,7,-3,,,,
Kansas City Chiefs,7,1,5,7,13,,10,7,6,2,-9,3,2,2,14,8,19,-38,,9,3,-18
Las Vegas Raiders,-12,3,-14,4,-16,-19,-5,-7,-17,,-15,-10,-2,-15,-6,5,15,-14,,,,
Los Angeles Chargers,12,23,-10,-7,,7,-2,18,17,10,7,-7,4,-2,-23,7,33,14,-20,,,
Los Angeles Rams,-6,-31,3,-6,-5,,5,10,6,-8,6,-17,7,2,6,10,4,-5,18,-6,,
Miami Dolphins,3,-21,-21,-19,5,,-6,-1,-3,8,15,19,-13,8,-8,12,17,-12,,,,
Minnesota Vikings,22,6,27,2,6,,-2,-10,8,5,10,3,1,21,18,3,2,-22,-18,,,
New England Patriots,6,-3,-21,-17,-5,-20,-16,3,-3,16,-6,-19,-1,,-13,-3,-33,7,,,,
New Orleans Saints,37,25,-3,-2,-13,-24,-23,-18,-1,3,21,,-7,3,-1,-34,-15,-8,,,,
New York Giants,-22,-3,6,-5,9,-10,-25,-8,-5,-3,,-23,-7,-3,-21,-27,12,-7,,,,
New York Jets,-13,7,21,-1,-6,-3,-22,-3,8,-25,-1,,-5,-6,7,-10,-26,12,,,,
Philadelphia Eagles,5,-1,3,-17,,4,25,20,5,28,8,17,5,6,14,-3,34,7,12,6,32,18
Pittsburgh Steelers,8,7,10,-3,-3,19,19,8,,1,2,-5,6,13,-14,-17,-19,-2,-14,,,
San Francisco 49ers,13,-6,-3,17,-1,12,-10,6,,3,-3,-28,-25,25,-6,-12,-6,-23,,,,
Seattle Seahawks,6,3,21,-13,-9,-12,20,-21,-6,,3,10,5,12,-17,-3,3,5,,,,
Tampa Bay Buccaneers,17,4,-19,17,-6,24,-10,-5,-6,-3,,23,3,15,23,-2,34,8,-3,,,
Tennessee Titans,-7,-7,-16,19,,-3,-24,-38,3,-10,-10,5,-23,-4,-10,-8,-7,-9,,,,
Washington Commanders,-17,3,5,28,21,-7,33,3,5,-1,-8,-8,23,,1,3,6,4,3,14,-32,
