,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,WIld Card,Division,Championship,Super Bowl
Arizona Cardinals,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,,,
Atlanta Falcons,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,
Baltimore Ravens,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,,
Buffalo Bills,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Yes,Yes,Yes,
Carolina Panthers,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,,,
Chicago Bears,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,,,,
Cincinnati Bengals,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,
Cleveland Browns,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,,,,
Dallas Cowboys,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,,,,
Denver Broncos,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,,,
Detroit Lions,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,,
Green Bay Packers,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Yes,,,
Houston Texans,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,,
Indianapolis Colts,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,
Jacksonville Jaguars,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,
Kansas City Chiefs,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes
Las Vegas Raiders,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,,,,
Los Angeles Chargers,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,
Los Angeles Rams,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,
Miami Dolphins,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Minnesota Vikings,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,
New England Patriots,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,
New Orleans Saints,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,
New York Giants,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,,,
New York Jets,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,
Philadelphia Eagles,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Pittsburgh Steelers,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,Yes,,,
San Francisco 49ers,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,,
Seattle Seahawks,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,,,,
Tampa Bay Buccaneers,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,,,
Tennessee Titans,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Washington Commanders,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,Yes,
