,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,WIld Card,Division,Championship,Super Bowl
Arizona Cardinals,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,Yes,No,,,,
Atlanta Falcons,No,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,,,
Baltimore Ravens,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,,
Buffalo Bills,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,No,No,No,No,No,Yes,Yes,Yes,
Carolina Panthers,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,,,
Chicago Bears,No,Yes,No,No,No,No,,No,No,No,No,No,Yes,No,Yes,No,Yes,No,,,,
Cincinnati Bengals,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,,No,Yes,No,No,Yes,Yes,,,,
Cleveland Browns,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,Yes,,,,
Dallas Cowboys,No,No,No,Yes,Yes,No,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,,,,
Denver Broncos,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,,No,Yes,Yes,No,Yes,,,
Detroit Lions,Yes,No,No,Yes,,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,,Yes,,
Green Bay Packers,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,,,
Houston Texans,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,,No,Yes,Yes,No,Yes,Yes,,
Indianapolis Colts,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,,,,
Jacksonville Jaguars,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,
Kansas City Chiefs,Yes,No,Yes,No,Yes,,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,,Yes,Yes,Yes
Las Vegas Raiders,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,No,No,,,,
Los Angeles Chargers,No,No,No,No,,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,,,
Los Angeles Rams,Yes,No,No,No,No,,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,,
Miami Dolphins,No,Yes,No,Yes,No,,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,,,,
Minnesota Vikings,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,,,
New England Patriots,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,,,
New Orleans Saints,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,,,,
New York Giants,No,No,No,Yes,No,Yes,No,Yes,No,No,,No,Yes,No,No,No,No,No,,,,
New York Jets,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,,No,No,No,No,No,No,,,,
Philadelphia Eagles,Yes,Yes,No,No,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Pittsburgh Steelers,No,No,No,No,Yes,No,Yes,Yes,,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,,
San Francisco 49ers,Yes,No,No,No,No,Yes,No,Yes,,No,No,No,Yes,No,Yes,No,Yes,No,,,,
Seattle Seahawks,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,Yes,No,,,,
Tampa Bay Buccaneers,No,No,No,No,Yes,No,Yes,No,Yes,No,,No,No,No,No,Yes,No,No,Yes,,,
Tennessee Titans,No,No,No,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
Washington Commanders,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,Yes,Yes,
