,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,WIld Card,Division,Championship,Super Bowl
Arizona Cardinals,L,W,L,L,W,L,W,W,W,W,,L,L,L,W,L,L,W,,,,
Atlanta Falcons,L,W,L,W,W,W,L,W,W,L,L,,L,L,W,W,L,L,,,,
Baltimore Ravens,L,L,W,W,W,W,W,L,W,W,L,W,L,,W,W,W,W,W,L,,
Buffalo Bills,W,W,W,L,L,W,W,W,W,W,W,,W,L,W,W,W,L,W,W,L,
Carolina Panthers,L,L,W,L,L,L,L,L,W,W,,L,L,L,L,W,L,W,,,,
Chicago Bears,W,L,L,W,W,W,,L,L,L,L,L,L,L,L,L,L,W,,,,
Cincinnati Bengals,L,L,L,W,L,W,W,L,W,L,L,,L,W,W,W,W,W,,,,
Cleveland Browns,L,W,L,L,L,L,L,W,L,,L,W,L,L,L,L,L,L,,,,
Dallas Cowboys,W,L,L,W,W,L,,L,L,L,L,W,W,L,W,W,L,L,,,,
Denver Broncos,L,L,W,W,W,L,W,W,L,L,W,W,W,,W,L,L,W,L,,,
Detroit Lions,W,L,W,W,,W,W,W,W,W,W,W,W,W,L,W,W,W,,L,,
Green Bay Packers,L,W,W,L,W,W,W,W,L,,W,W,W,L,W,W,L,L,L,,,
Houston Texans,W,W,L,W,W,W,L,W,L,L,W,L,W,,W,L,L,W,W,L,,
Indianapolis Colts,L,L,W,W,L,W,W,L,L,L,W,L,W,,L,W,L,W,,,,
Jacksonville Jaguars,L,L,L,L,W,L,W,L,L,L,L,,L,W,L,L,W,L,,,,
Kansas City Chiefs,W,W,W,W,W,,W,W,W,W,L,W,W,W,W,W,W,L,,W,W,L
Las Vegas Raiders,L,W,L,W,L,L,L,L,L,,L,L,L,L,L,W,W,L,,,,
Los Angeles Chargers,W,W,L,L,,W,L,W,W,W,W,L,W,L,L,W,W,W,L,,,
Los Angeles Rams,L,L,W,L,L,,W,W,W,L,W,L,W,W,W,W,W,L,W,L,,
Miami Dolphins,W,L,L,L,W,,L,L,L,W,W,W,L,W,L,W,W,L,,,,
Minnesota Vikings,W,W,W,W,W,,L,L,W,W,W,W,W,W,W,W,W,L,L,,,
New England Patriots,W,L,L,L,L,L,L,W,L,W,L,L,L,,L,L,L,W,,,,
New Orleans Saints,W,W,L,L,L,L,L,L,L,W,W,,L,W,L,L,L,L,,,,
New York Giants,L,L,W,L,W,L,L,L,L,L,,L,L,L,L,L,W,L,,,,
New York Jets,L,W,W,L,L,L,L,L,W,L,L,,L,L,W,L,L,W,,,,
Philadelphia Eagles,W,L,W,L,,W,W,W,W,W,W,W,W,W,W,L,W,W,W,W,W,W
Pittsburgh Steelers,W,W,W,L,L,W,W,W,,W,W,L,W,W,L,L,L,L,L,,,
San Francisco 49ers,W,L,L,W,L,W,L,W,,W,L,L,L,W,L,L,L,L,,,,
Seattle Seahawks,W,W,W,L,L,L,W,L,L,,W,W,W,W,L,L,W,W,,,,
Tampa Bay Buccaneers,W,W,L,W,L,W,L,L,L,L,,W,W,W,W,L,W,W,L,,,
Tennessee Titans,L,L,L,W,,L,L,L,W,L,L,W,L,L,L,L,L,L,,,,
Washington Commanders,L,W,W,W,W,L,W,W,W,L,L,L,W,,W,W,W,W,W,W,L,
