Team,Week,PositiveRatio,NegativeRatio,TotalComments
Arizona Cardinals,Week 1,0.5600794438927508,0.4399205561072492,1007
Atlanta Falcons,Week 1,0.4929906542056075,0.5070093457943925,428
Carolina Panthers,Week 1,0.5651612903225807,0.4348387096774193,775
Cincinnati Bengals,Week 1,0.5298372513562387,0.4701627486437613,553
Cleveland Browns,Week 1,0.5853242320819113,0.4146757679180887,586
Dallas Cowboys,Week 1,0.6524752475247525,0.3475247524752475,1010
Denver Broncos,Week 1,0.5652777777777778,0.4347222222222222,720
Detroit Lions,Week 1,0.6334012219959266,0.3665987780040733,491
Green Bay Packers,Week 1,0.5456674473067916,0.4543325526932084,427
Houston Texans,Week 1,0.7393310265282583,0.2606689734717416,867
Indianapolis Colts,Week 1,0.5228452751817237,0.4771547248182762,1926
Jacksonville Jaguars,Week 1,0.4543325526932084,0.5456674473067916,427
Kansas City Chiefs,Week 1,0.7286432160804021,0.271356783919598,597
Las Vegas Raiders,Week 1,0.6364551863041289,0.3635448136958711,993
Los Angeles Chargers,Week 1,0.7324561403508771,0.2675438596491228,456
Los Angeles Rams,Week 1,0.5537848605577689,0.446215139442231,502
Miami Dolphins,Week 1,0.5066666666666667,0.4933333333333333,375
Minnesota Vikings,Week 1,0.6865728413845569,0.3134271586154431,2629
New England Patriots,Week 1,0.7110912343470484,0.2889087656529517,1118
New Orleans Saints,Week 1,0.7264150943396226,0.2735849056603773,106
New York Giants,Week 1,0.4401041666666667,0.5598958333333334,384
New York Jets,Week 1,0.562874251497006,0.437125748502994,501
Philadelphia Eagles,Week 1,0.6836027713625866,0.3163972286374134,433
Pittsburgh Steelers,Week 1,0.6301652892561983,0.3698347107438016,484
San Francisco 49ers,Week 1,0.6708333333333333,0.3291666666666666,480
Seattle Seahawks,Week 1,0.6983546617915904,0.3016453382084095,547
Tampa Bay Buccaneers,Week 1,0.6925795053003534,0.3074204946996466,283
Tennessee Titans,Week 1,0.5330188679245284,0.4669811320754717,636
Washington Commanders,Week 1,0.6747491638795987,0.3252508361204013,1196
Arizona Cardinals,Week 2,0.7583333333333333,0.2416666666666666,120
Atlanta Falcons,Week 2,0.7298701298701299,0.2701298701298701,385
Baltimore Ravens,Week 2,0.4592274678111588,0.5407725321888412,466
Buffalo Bills,Week 2,0.6909090909090909,0.3090909090909091,550
Carolina Panthers,Week 2,0.4002677376171352,0.5997322623828648,747
Chicago Bears,Week 2,0.4581395348837209,0.541860465116279,430
Cincinnati Bengals,Week 2,0.4908835904628331,0.5091164095371669,713
Cleveland Browns,Week 2,0.5924764890282131,0.4075235109717868,638
